t,S,I,R
95.0,568.0128534981478,175.62748924235413,9256.359657259496
96.0,565.0200933586299,161.05750045763665,9273.922406183732
97.0,562.2900716402894,147.68177213021343,9290.028156229495
98.0,559.7988718133576,135.40479474412396,9304.796333442517
99.0,557.5248882732811,124.13829880978795,9318.336812916928
100.0,555.4485825380502,113.80077466404002,9330.750642797908
101.0,553.552268168684,104.31701156700221,9342.130720264311
102.0,551.8199206178392,95.61765796114678,9352.562421421011
103.0,550.2370087650658,87.63880401780561,9362.124187217125
104.0,548.7903453638306,80.3215870172602,9370.888067618906
105.0,547.4679540194494,73.61181965991537,9378.920226320632
106.0,546.2589506504236,67.45964106294971,9386.281408286623
107.0,545.1534376682746,61.819189938803774,9393.027372392917
108.0,544.1424093510044,56.6482992621936,9399.209291386796
109.0,543.2176670896195,51.90821159735925,9404.874121313016
110.0,542.3717433614181,47.56331416582468,9410.064942472753
111.0,541.5978334326932,43.580892677967164,9414.821273889334
112.0,540.8897339210897,39.930902921773935,9419.17936315713
113.0,540.2417874573921,36.58575909329416,9423.172453449308
114.0,539.6488327807507,33.52013786060614,9426.831029358636
115.0,539.1061596826169,30.710797172679307,9430.183043144698
116.0,538.6094682848802,28.136408853148023,9433.254122861967
117.0,538.154832198525,25.777404054188423,9436.067763747282
118.0,537.7386651619262,23.61583068536844,9438.6455041527
119.0,537.357690803843,21.6352219749148,9441.007087221238
120.0,537.0089152162288,19.82047536503738,9443.17060941873
121.0,536.6896020569834,18.157740987779103,9445.152656955233
122.0,536.3972499334338,16.63431901255074,9446.96843105401
123.0,536.1295718442484,15.238565200481096,9448.631862955266
124.0,535.8844764811548,13.959804043526624,9450.155719475315
125.0,535.6600512127055,12.788248907623306,9451.551699879668
126.0,535.4545465907622,11.714928638804325,9452.83052477043
127.0,535.2663622366832,10.731620129002916,9454.002017634311
128.0,535.0940339786625,9.830786374123345,9455.075179647212
129.0,534.9362221245192,9.005519590854375,9456.058258284625
130.0,534.7917007656732,8.249488990614937,9456.95881024371
131.0,534.6593480182411,7.556892838985603,9457.783759142772
132.0,534.538137116291,6.9224144570371156,9458.53944842667
133.0,534.4271282804447,6.341181847179749,9459.231689872375
134.0,534.3254612923099,5.808730650596545,9459.865808057093
135.0,534.2323487117778,5.320970166068974,9460.446681122152
136.0,534.1470696801005,4.874152181139406,9460.978778138759
137.0,534.0689642569586,4.46484238616738,9461.466193356873
138.0,533.9974282444961,4.089894160013171,9461.91267759549
139.0,533.9319084555989,3.74642453290903,9462.32166701149
140.0,533.8718983875766,3.4317921476403566,9462.696309464782
141.0,533.8169342659146,3.143577054538291,9463.039488679546
142.0,533.7665914259381,2.879562189060931,9463.353846385
143.0,533.7204810031045,2.6377163929884597,9463.641802603906
144.0,533.678246905244,2.416178851550081,9463.905574243205
145.0,533.6395630424329,2.213244829206216,9464.14719212836
146.0,533.604130792326,2.0273525963925003,9464.36851661128
147.0,533.5716766807258,1.8570714483534778,9464.571251870919
148.0,533.5419502589334,1.701090725310546,9464.756959015755
149.0,533.5147221610389,1.5582097506739787,9464.927068088286
150.0,533.4897823257729,1.4273286108725642,9465.082889063353
151.0,533.4669383688753,1.3074397066829604,9465.225621924441
152.0,533.4460140931525,1.197620011737446,9465.35636589511
153.0,533.4268481245027,1.0970239792134875,9465.476127896283
154.0,533.4092926631963,1.0048770425986042,9465.585830294205
155.0,533.3932123406212,0.920469660913924,9465.686317998465
156.0,533.3784831725422,0.8431518629014404,9465.778364964555
157.0,533.3649916006907,0.7723282484628505,9465.862680150845
158.0,533.3526336151981,0.7074534091091964,9465.939912975691
159.0,533.3413139510309,0.6480277323655299,9466.010658316602
160.0,533.3309453521632,0.5935935579966731,9466.075461089838
161.0,533.32144789776,0.5437316566002454,9466.134820445639
162.0,533.312748385129,0.49805800357119756,9466.189193611299
163.0,533.3047797646468,0.45622082369627076,9466.238999411657
164.0,533.2974806222696,0.41789788370380526,9466.284621494025
165.0,533.2907947056135,0.38279401198952323,9466.326411282396
166.0,533.2846704899276,0.3506388264764442,9466.364690683595
167.0,533.2790607805965,0.3211846531599537,9466.399754566242
168.0,533.2739223490913,0.2942046193491868,9466.431873031559
169.0,533.2692155995513,0.26949090695427497,9466.461293493494
170.0,533.2649042634145,0.246853152395729,9466.48824258419
171.0,533.260955119734,0.226116980836539,9466.51292789943
172.0,533.2573377390189,0.2071226634679756,9466.535539597513
173.0,533.2540242486157,0.18972388752436845,9466.55625186386
